time,value
0.05,956
0.1,1025
0.15,1034
0.2,1046
0.25,1035
0.3,1019
0.35,1018
0.4,973
0.45,1095
0.5,993
0.55,992
0.6,996
0.65,1053
0.7,1058
0.75,986
0.8,971
0.85,1024
0.9,1043
0.95,1016
1.0,1040
1.05,1031
1.1,1046
1.15,996
1.2,1014
1.25,1022
1.3,952
1.35,1008
1.4,1013
1.45,1015
1.5,994
1.55,1003
1.6,963
1.65,1024
1.7,975
1.75,1062
1.8,987
1.85,980
1.9,1043
1.95,958
2.0,1022
2.05,1003
2.1,1004
2.15,996
2.2,992
2.25,937
2.3,1025
2.35,1055
2.4,990
2.45,1057
2.5,1042
2.55,1070
2.6,1020
2.65,1011
2.7,1018
2.75,1013
2.8,1014
2.85,1059
2.9,982
2.95,1067
3.0,1094
3.05,1047
3.1,992
3.15,1071
3.2,1027
3.25,1080
3.3,1052
3.35,1046
3.4,1063
3.45,1016
3.5,1106
3.55,1010
3.6,1105
3.65,1061
3.7,1079
3.75,1001
3.8,1023
3.85,1002
3.9,1065
3.95,976
4.0,1007
4.05,991
4.1,994
4.15,1011
4.2,1031
4.25,1032
4.3,1000
4.35,1068
4.4,1010
4.45,984
4.5,1020
4.55,1020
4.6,1056
4.65,1076
4.7,1015
4.75,1026
4.8,1001
4.85,1052
4.9,1003
4.95,1015
5.0,984
5.05,1093
5.1,1008
5.15,1010
5.2,1054
5.25,1056
5.3,1013
5.35,1003
5.4,1060
5.45,1067
5.5,1012
5.55,1001
5.6,997
5.65,990
5.7,1061
5.75,1018
5.8,994
5.85,1032
5.9,1005
5.95,988
6.0,1054
6.05,1008
6.1,1011
6.15,1041
6.2,1008
6.25,1046
6.3,1043
6.35,1044
6.4,1098
6.45,1030
6.5,1076
6.55,1010
6.6,1103
6.65,1020
6.7,1075
6.75,1050
6.8,989
6.85,1024
6.9,1089
6.95,1013
7.0,1037
7.05,987
7.1,1034
7.15,974
7.2,1043
7.25,1020
7.3,1032
7.35,989
7.4,1044
7.45,995
7.5,958
7.55,975
7.6,986
7.65,1017
7.7,975
7.75,1019
7.8,984
7.85,1007
7.9,1034
7.95,1004
8.0,1060
8.05,1013
8.1,1009
8.15,1039
8.2,1013
8.25,1069
8.3,1049
8.35,999
8.4,1045
