time,value
0.05,1102
0.1,1084
0.15,1096
0.2,1130
0.25,1119
0.3,1002
0.35,1147
0.4,1086
0.45,1065
0.5,1097
0.55,1069
0.6,1091
0.65,1096
0.7,1085
0.75,1090
0.8,1105
0.85,1058
0.9,1118
0.95,1075
1.0,1141
1.05,1085
1.1,1027
1.15,1067
1.2,1029
1.25,1048
1.3,1077
1.35,1115
1.4,1118
1.45,1138
1.5,1083
1.55,1101
1.6,1162
1.65,1058
1.7,1071
1.75,1059
1.8,1067
1.85,1071
1.9,1155
1.95,1129
2.0,1129
2.05,1088
2.1,1144
2.15,1168
2.2,1135
2.25,1047
2.3,1102
2.35,1053
2.4,1113
2.45,1118
2.5,1084
2.55,1145
2.6,1107
2.65,1128
2.7,1107
2.75,1068
2.8,1133
2.85,1114
2.9,1085
2.95,1127
3.0,1091
3.05,1062
3.1,1084
3.15,1066
3.2,1053
3.25,1111
3.3,1084
3.35,1141
3.4,1071
3.45,1069
3.5,1013
3.55,1029
3.6,1084
3.65,1086
3.7,1101
3.75,1054
3.8,1078
3.85,1089
3.9,1107
3.95,1030
4.0,1020
4.05,1051
4.1,1070
4.15,1094
4.2,1101
4.25,1084
4.3,1082
4.35,1113
4.4,1053
4.45,1118
4.5,1080
4.55,1057
4.6,1136
4.65,1124
4.7,1132
4.75,1113
4.8,1101
4.85,1118
4.9,1077
4.95,1094
5.0,1121
5.05,1006
5.1,1048
5.15,1100
5.2,1070
5.25,1145
5.3,1063
5.35,1056
5.4,1134
5.45,1067
5.5,1101
5.55,1074
5.6,1065
5.65,1054
5.7,1161
5.75,1069
5.8,1103
5.85,1065
5.9,1102
5.95,1116
6.0,1078
6.05,1115
6.1,1092
6.15,1049
6.2,1091
6.25,1109
6.3,1056
6.35,1062
6.4,1128
6.45,1096
6.5,1047
6.55,1072
6.6,1056
6.65,1107
6.7,1064
6.75,1110
6.8,1092
6.85,1043
6.9,1083
6.95,1048
7.0,1073
7.05,1116
7.1,1097
7.15,1114
7.2,1080
7.25,1058
7.3,1086
7.35,1144
7.4,1087
7.45,1057
7.5,1066
7.55,1121
7.6,1086
7.65,1093
7.7,1104
7.75,1093
7.8,1031
7.85,1102
7.9,1060
7.95,1136
8.0,1123
8.05,1089
8.1,1052
8.15,1066
8.2,1102
8.25,1116
8.3,1166
8.35,1049
8.4,1092
8.45,1019
8.5,1049
8.55,1073
8.6,1056
8.65,1134
8.7,1127
8.75,1084
8.8,1024
8.85,1063
8.9,1137
8.95,1054
9.0,1047
9.05,1117
9.1,1042
9.15,1138
9.2,1074
9.25,1088
9.3,1080
9.35,1076
9.4,1099
9.45,1098
9.5,1088
9.55,1072
9.6,1076
9.65,1099
9.7,1115
9.75,1074
9.8,1154
9.85,1057
9.9,1075
9.95,1100
10.0,1118
10.05,1064
10.1,1113
10.15,1041
10.2,1059
10.25,1131
10.3,1068
10.35,1073
10.4,1046
10.45,1094
10.5,1107
10.55,1076
10.6,1099
10.65,1055
10.7,1114
10.75,1091
10.8,1121
10.85,1067
10.9,1070
10.95,1074
11.0,1099
11.05,1120
11.1,1044
11.15,1076
11.2,1021
11.25,1104
11.3,1077
11.35,1068
11.4,1096
11.45,1035
11.5,1087
11.55,1060
11.6,1123
11.65,1132
11.7,1122
11.75,1096
11.8,1159
11.85,1113
11.9,1060
11.95,1080
12.0,1042
12.05,1088
12.1,1111
12.15,1080
12.2,1077
12.25,1117
12.3,1031
12.35,1095
12.4,1136
12.45,1054
12.5,1084
12.55,1067
12.6,1062
12.65,1074
12.7,1124
12.75,1082
12.8,1045
12.85,1072
12.9,1034
12.95,1067
13.0,1109
13.05,1102
13.1,1050
13.15,1051
13.2,1033
13.25,1024
13.3,1084
13.35,1073
13.4,1098
13.45,1085
13.5,1068
13.55,1078
13.6,1076
13.65,985
13.7,1075
13.75,1010
13.8,1089
13.85,1039
13.9,1124
13.95,1112
14.0,1069
14.05,1073
14.1,1067
14.15,1067
14.2,1087
14.25,1106
14.3,1078
14.35,992
14.4,1084
14.45,1081
14.5,1092
14.55,1058
14.6,1101
14.65,1077
14.7,1082
14.75,1112
14.8,1049
14.85,1091
14.9,1086
14.95,1036
15.0,1079
15.05,1084
15.1,1030
15.15,1139
15.2,1093
15.25,1074
15.3,1039
15.35,1135
15.4,1014
15.45,1035
15.5,1027
15.55,1137
15.6,1082
15.65,1045
15.7,1084
15.75,1114
15.8,1086
15.85,1044
15.9,1050
15.95,1083
16.0,1032
16.05,1059
16.1,1085
16.15,1077
16.2,1049
16.25,989
16.3,985
16.35,984
16.4,1001
16.45,1046
16.5,1115
16.55,1037
16.6,1077
16.65,1034
16.7,1043
16.75,1116
16.8,1088
16.85,1088
16.9,1063
16.95,1072
17.0,1095
17.05,1092
17.1,1057
17.15,1054
17.2,1072
17.25,1057
17.3,1048
17.35,1089
17.4,987
17.45,1067
17.5,1075
17.55,1053
17.6,1057
17.65,1061
17.7,1079
17.75,1059
17.8,1036
17.85,1042
17.9,1091
17.95,1053
18.0,1105
18.05,1029
18.1,1060
18.15,1081
18.2,1085
18.25,1045
18.3,1071
18.35,1078
18.4,1089
18.45,1113
18.5,1059
18.55,1088
18.6,1082
18.65,1065
18.7,1064
18.75,1058
18.8,1097
18.85,1041
18.9,1046
18.95,1105
19.0,1077
19.05,1079
19.1,1121
19.15,1093
19.2,1049
19.25,1067
19.3,1114
19.35,1117
19.4,1066
19.45,1060
19.5,1109
19.55,1075
19.6,1078
19.65,1097
19.7,1048
19.75,1129
19.8,1109
19.85,1049
19.9,1086
19.95,1126
20.0,1078
20.05,1054
20.1,1093
20.15,1072
20.2,1104
20.25,1081
20.3,1023
20.35,1124
20.4,1110
20.45,1086
20.5,1113
20.55,1027
20.6,1060
20.65,1103
20.7,1046
20.75,1075
20.8,1103
20.85,1023
20.9,1068
20.95,1064
21.0,1062
21.05,1073
21.1,1004
21.15,1039
21.2,1080
21.25,1044
21.3,1143
21.35,1066
21.4,1068
21.45,1061
21.5,1028
21.55,1077
21.6,1100
21.65,1092
21.7,1069
21.75,1022
21.8,988
21.85,1040
21.9,1104
21.95,1042
22.0,1030
22.05,1038
22.1,1045
22.15,1080
22.2,994
22.25,1014
22.3,1035
22.35,1047
22.4,1019
22.45,1037
22.5,1057
22.55,1031
22.6,1035
22.65,1022
22.7,1084
22.75,1039
22.8,1016
22.85,1090
22.9,1017
22.95,1025
23.0,1072
23.05,1033
23.1,967
23.15,1005
23.2,1081
23.25,1001
23.3,1068
23.35,1031
23.4,1096
23.45,1050
23.5,1070
23.55,1109
23.6,1072
23.65,986
23.7,1083
23.75,1006
23.8,1060
23.85,983
23.9,1009
23.95,990
24.0,1070
24.05,1111
24.1,1092
24.15,1041
24.2,1089
24.25,1092
24.3,1082
24.35,1038
24.4,1070
24.45,983
24.5,1059
24.55,1100
24.6,1098
24.65,1057
24.7,1096
24.75,1070
24.8,1073
24.85,1055
24.9,1047
24.95,1036
25.0,1044
25.05,1051
25.1,1094
25.15,1078
25.2,1126
25.25,1072
25.3,1031
25.35,1041
25.4,1045
25.45,1037
25.5,1037
25.55,1029
25.6,1029
25.65,1042
25.7,1082
25.75,1087
25.8,1071
25.85,1060
25.9,1077
25.95,1064
26.0,1105
26.05,1090
26.1,1087
26.15,1148
26.2,1042
26.25,1075
26.3,1099
26.35,1051
26.4,1082
26.45,1158
26.5,1103
26.55,1102
26.6,1039
26.65,1071
26.7,1073
26.75,1100
26.8,1138
26.85,1034
26.9,1057
26.95,1028
27.0,1031
27.05,1019
27.1,1045
27.15,1077
27.2,1021
27.25,1098
27.3,1058
27.35,1033
27.4,1050
27.45,1090
27.5,1117
27.55,1044
27.6,1048
27.65,1040
27.7,1058
27.75,992
27.8,1038
27.85,1034
27.9,1069
27.95,1004
28.0,1056
28.05,994
28.1,1037
28.15,984
28.2,915
28.25,1046
28.3,1026
28.35,976
28.4,1046
28.45,1024
28.5,986
28.55,982
28.6,1003
28.65,990
28.7,1036
28.75,997
28.8,958
28.85,1016
28.9,1001
28.95,982
29.0,978
29.05,931
29.1,970
29.15,1032
29.2,1037
29.25,987
29.3,993
29.35,955
29.4,1021
29.45,982
29.5,1002
29.55,960
29.6,969
29.65,1000
29.7,1006
29.75,967
29.8,965
29.85,988
29.9,922
29.95,972
30.0,1024
30.05,1015
30.1,1033
30.15,1108
30.2,973
30.25,1003
30.3,1078
30.35,997
