time,value
0.05,1173
0.1,1114
0.15,1175
0.2,1183
0.25,1235
0.3,1104
0.35,1200
0.4,1098
0.45,1185
0.5,1149
0.55,1217
0.6,1215
0.65,1162
0.7,1154
0.75,1184
0.8,1205
0.85,1143
0.9,1142
0.95,1214
1.0,1151
1.05,1192
1.1,1212
1.15,1185
1.2,1210
1.25,1151
1.3,1169
1.35,1204
1.4,1250
1.45,1175
1.5,1196
1.55,1161
1.6,1163
1.65,1166
1.7,1193
1.75,1201
1.8,1121
1.85,1204
1.9,1227
1.95,1141
2.0,1158
2.05,1180
2.1,1126
2.15,1192
2.2,1115
2.25,1207
2.3,1135
2.35,1166
2.4,1154
2.45,1225
2.5,1192
2.55,1136
2.6,1253
2.65,1120
2.7,1173
2.75,1215
2.8,1136
2.85,1139
2.9,1176
2.95,1212
3.0,1153
3.05,1221
3.1,1140
3.15,1193
3.2,1097
3.25,1189
3.3,1155
3.35,1188
3.4,1198
3.45,1185
3.5,1140
3.55,1166
3.6,1132
3.65,1196
3.7,1188
3.75,1188
3.8,1178
3.85,1116
3.9,1144
3.95,1162
4.0,1186
4.05,1168
4.1,1195
4.15,1131
4.2,1182
4.25,1195
4.3,1189
4.35,1211
4.4,1198
4.45,1169
4.5,1190
4.55,1232
4.6,1126
4.65,1207
4.7,1133
4.75,1225
4.8,1132
4.85,1254
4.9,1152
4.95,1249
5.0,1180
5.05,1166
5.1,1177
5.15,1116
5.2,1189
5.25,1206
5.3,1225
5.35,1196
5.4,1114
5.45,1153
5.5,1183
5.55,1143
5.6,1150
5.65,1143
5.7,1107
5.75,1223
5.8,1232
5.85,1186
5.9,1156
5.95,1207
6.0,1150
6.05,1126
6.1,1190
6.15,1206
6.2,1221
6.25,1237
6.3,1224
6.35,1187
6.4,1168
6.45,1163
6.5,1260
6.55,1182
6.6,1190
6.65,1114
6.7,1155
6.75,1180
6.8,1229
6.85,1179
6.9,1226
6.95,1192
7.0,1215
7.05,1207
7.1,1177
7.15,1176
7.2,1155
7.25,1174
7.3,1208
7.35,1237
7.4,1222
7.45,1192
7.5,1196
7.55,1161
7.6,1115
7.65,1189
7.7,1156
7.75,1182
7.8,1166
7.85,1174
7.9,1178
7.95,1205
8.0,1156
8.05,1205
8.1,1178
8.15,1193
8.2,1126
8.25,1172
8.3,1122
8.35,1108
8.4,1131
8.45,1126
8.5,1163
8.55,1110
8.6,1137
8.65,1193
8.7,1167
8.75,1205
8.8,1212
8.85,1198
8.9,1220
8.95,1220
9.0,1251
9.05,1179
9.1,1168
9.15,1243
9.2,1154
9.25,1118
9.3,1191
9.35,1149
9.4,1156
9.45,1202
9.5,1162
9.55,1195
9.6,1157
9.65,1220
9.7,1225
9.75,1254
9.8,1226
9.85,1233
9.9,1175
9.95,1185
10.0,1201
10.05,1230
10.1,1208
10.15,1210
10.2,1174
10.25,1236
10.3,1146
10.35,1257
10.4,1160
10.45,1172
10.5,1252
10.55,1182
10.6,1178
10.65,1163
10.7,1214
10.75,1192
10.8,1156
10.85,1172
10.9,1196
10.95,1196
11.0,1160
11.05,1195
11.1,1096
11.15,1156
11.2,1132
11.25,1208
11.3,1196
11.35,1211
11.4,1126
11.45,1255
11.5,1157
11.55,1178
11.6,1188
11.65,1222
11.7,1185
11.75,1195
11.8,1216
11.85,1139
11.9,1218
11.95,1178
12.0,1171
12.05,1171
12.1,1148
12.15,1151
12.2,1182
12.25,1144
12.3,1220
12.35,1161
12.4,1165
12.45,1242
12.5,1277
12.55,1172
12.6,1153
12.65,1252
12.7,1150
12.75,1186
12.8,1219
12.85,1199
12.9,1174
12.95,1123
13.0,1152
13.05,1217
13.1,1207
13.15,1202
13.2,1172
13.25,1230
13.3,1207
13.35,1213
13.4,1143
13.45,1166
13.5,1166
13.55,1218
13.6,1162
13.65,1194
13.7,1183
13.75,1174
13.8,1107
13.85,1207
13.9,1209
13.95,1195
14.0,1190
14.05,1219
14.1,1182
14.15,1190
14.2,1195
14.25,1195
14.3,1190
14.35,1186
14.4,1195
14.45,1222
14.5,1138
14.55,1234
14.6,1212
14.65,1207
14.7,1200
14.75,1209
14.8,1234
14.85,1192
14.9,1139
14.95,1156
15.0,1276
15.05,1233
15.1,1177
15.15,1223
15.2,1217
15.25,1162
15.3,1226
15.35,1223
15.4,1195
15.45,1149
15.5,1188
15.55,1232
15.6,1177
15.65,1117
15.7,1171
15.75,1212
15.8,1161
15.85,1140
15.9,1227
15.95,1192
16.0,1183
16.05,1150
16.1,1213
16.15,1211
16.2,1105
16.25,1135
16.3,1175
16.35,1170
16.4,1115
16.45,1210
16.5,1161
16.55,1167
16.6,1174
16.65,1187
16.7,1170
16.75,1177
16.8,1157
16.85,1243
16.9,1157
16.95,1170
17.0,1122
17.05,1218
17.1,1178
17.15,1212
17.2,1257
17.25,1138
17.3,1193
17.35,1210
17.4,1197
17.45,1151
17.5,1206
17.55,1235
17.6,1235
17.65,1175
17.7,1176
17.75,1214
17.8,1184
17.85,1135
17.9,1159
17.95,1151
18.0,1139
18.05,1171
18.1,1178
