time,value
0.05,1006
0.1,986
0.15,1022
0.2,953
0.25,999
0.3,914
0.35,987
0.4,1024
0.45,981
0.5,943
0.55,964
0.6,907
0.65,970
0.7,968
0.75,971
0.8,925
0.85,957
0.9,1014
0.95,951
1.0,918
1.05,930
1.1,972
1.15,1005
1.2,989
1.25,948
1.3,989
1.35,949
1.4,1017
1.45,1014
1.5,971
1.55,960
1.6,977
1.65,1000
1.7,965
1.75,1018
1.8,921
1.85,1021
1.9,994
1.95,972
2.0,901
2.05,1031
2.1,1013
2.15,996
2.2,965
2.25,921
2.3,974
2.35,1005
2.4,997
2.45,983
2.5,1009
2.55,1001
2.6,996
2.65,1014
2.7,943
2.75,965
2.8,935
2.85,983
2.9,971
2.95,1008
3.0,924
3.05,1003
3.1,1038
3.15,979
3.2,980
3.25,981
3.3,922
3.35,999
3.4,959
3.45,1056
3.5,995
3.55,996
3.6,966
3.65,927
3.7,1008
3.75,1066
3.8,935
3.85,996
3.9,963
3.95,960
4.0,1006
4.05,952
4.1,1007
4.15,1013
4.2,1033
4.25,969
4.3,983
4.35,1022
4.4,998
4.45,1011
4.5,1036
4.55,990
4.6,982
4.65,957
4.7,958
4.75,1044
4.8,958
4.85,993
4.9,1038
4.95,936
5.0,1035
5.05,940
5.1,1023
5.15,946
5.2,993
5.25,977
5.3,947
5.35,945
5.4,938
5.45,1028
5.5,1023
5.55,988
5.6,947
5.65,991
5.7,945
5.75,1002
5.8,1001
5.85,993
5.9,928
5.95,963
6.0,957
6.05,1009
6.1,1032
6.15,991
6.2,1000
6.25,947
6.3,977
6.35,1025
6.4,1013
6.45,1037
6.5,1041
6.55,1021
6.6,978
6.65,1009
6.7,1008
6.75,982
6.8,1009
6.85,1037
6.9,1004
6.95,963
7.0,1028
7.05,985
7.1,980
7.15,1042
7.2,1013
7.25,975
7.3,983
7.35,978
7.4,926
7.45,947
7.5,993
7.55,1034
7.6,1012
7.65,993
7.7,1018
7.75,1005
7.8,940
7.85,1039
7.9,1016
7.95,1005
8.0,933
8.05,956
8.1,1000
8.15,988
8.2,1024
8.25,959
8.3,1057
8.35,964
8.4,961
8.45,959
8.5,995
8.55,997
8.6,992
8.65,982
8.7,974
8.75,965
8.8,989
8.85,972
8.9,1017
8.95,986
9.0,1003
9.05,1022
9.1,1026
9.15,1006
9.2,997
9.25,988
9.3,1022
9.35,958
9.4,1032
9.45,1021
9.5,991
9.55,1026
9.6,1033
9.65,1021
9.7,986
9.75,979
9.8,1024
9.85,993
9.9,966
9.95,973
10.0,991
10.05,990
10.1,959
10.15,1017
10.2,965
10.25,946
10.3,983
10.35,1002
10.4,1020
10.45,952
10.5,982
10.55,1059
10.6,1014
10.65,994
10.7,1063
10.75,973
10.8,1026
10.85,1039
10.9,1035
10.95,971
11.0,974
11.05,1020
11.1,975
11.15,965
11.2,1017
11.25,979
11.3,955
11.35,954
11.4,995
11.45,988
11.5,1004
11.55,987
11.6,1038
11.65,982
11.7,1071
11.75,1015
11.8,1012
11.85,998
11.9,982
11.95,997
12.0,999
12.05,1037
12.1,1062
12.15,1014
12.2,1024
12.25,1087
12.3,1045
12.35,1016
12.4,1006
12.45,984
12.5,1067
12.55,1004
12.6,961
12.65,967
12.7,1020
12.75,1053
12.8,982
12.85,974
12.9,1029
12.95,1027
13.0,1011
13.05,975
13.1,967
13.15,971
13.2,993
13.25,989
13.3,1004
13.35,977
13.4,1024
13.45,1026
13.5,957
13.55,997
13.6,1000
13.65,963
13.7,1013
13.75,958
13.8,1022
13.85,964
13.9,1042
13.95,1036
14.0,1049
14.05,1003
14.1,983
14.15,995
14.2,989
14.25,1033
14.3,961
14.35,998
14.4,976
14.45,1069
14.5,1053
14.55,1024
14.6,1044
14.65,1041
14.7,1051
14.75,1022
14.8,1037
14.85,954
14.9,996
14.95,1013
15.0,1045
15.05,932
15.1,1055
15.15,1039
15.2,962
15.25,999
15.3,1034
15.35,952
15.4,1023
15.45,1048
15.5,1024
15.55,1040
15.6,980
15.65,1052
15.7,1037
15.75,987
15.8,954
15.85,1010
15.9,1028
15.95,1019
16.0,987
16.05,1021
16.1,1068
16.15,945
16.2,1008
16.25,1027
16.3,969
16.35,987
16.4,1032
16.45,983
16.5,998
16.55,1003
16.6,964
16.65,1038
16.7,959
16.75,1006
16.8,1023
16.85,1011
16.9,1004
16.95,996
17.0,1029
17.05,998
17.1,1011
17.15,979
17.2,951
17.25,1005
17.3,1018
17.35,1043
17.4,1024
17.45,1040
17.5,1050
17.55,994
17.6,988
17.65,979
17.7,995
17.75,1043
17.8,977
17.85,1056
17.9,989
17.95,994
18.0,992
18.05,1018
18.1,1075
18.15,1046
18.2,1004
18.25,982
18.3,1034
18.35,1044
18.4,1047
18.45,1044
18.5,1029
18.55,1003
18.6,1034
18.65,1040
18.7,1014
18.75,1016
18.8,1019
18.85,1046
18.9,1021
18.95,1012
19.0,1065
19.05,970
19.1,1034
19.15,962
19.2,1019
19.25,1024
19.3,1032
19.35,1014
19.4,970
19.45,1043
19.5,1004
19.55,1000
19.6,1034
19.65,987
19.7,1030
19.75,993
19.8,1031
19.85,970
19.9,1059
19.95,1047
20.0,1089
20.05,1035
20.1,1015
20.15,992
20.2,1018
20.25,998
20.3,999
20.35,1044
20.4,1073
20.45,1002
20.5,928
20.55,1048
20.6,1035
20.65,1028
20.7,941
20.75,1017
20.8,1059
20.85,1000
20.9,1024
20.95,1049
21.0,1013
21.05,1063
21.1,1081
21.15,967
21.2,976
21.25,1063
21.3,1051
21.35,1001
21.4,1035
21.45,1011
21.5,1046
21.55,979
21.6,954
21.65,1043
21.7,998
21.75,994
21.8,1027
21.85,1002
21.9,1017
21.95,1057
22.0,1011
22.05,976
22.1,996
22.15,1001
22.2,961
22.25,998
22.3,985
22.35,987
22.4,978
22.45,986
22.5,994
22.55,1008
22.6,1001
22.65,998
22.7,950
22.75,1029
22.8,999
22.85,948
22.9,1009
22.95,908
23.0,1028
23.05,983
23.1,972
23.15,1045
23.2,1011
23.25,1038
23.3,1052
23.35,1046
23.4,1037
23.45,996
23.5,1014
23.55,1007
23.6,1045
23.65,1017
23.7,997
23.75,1004
23.8,952
23.85,999
23.9,984
23.95,1041
24.0,1029
24.05,1009
24.1,1005
24.15,1017
24.2,1038
24.25,1036
24.3,996
24.35,1060
24.4,998
24.45,985
24.5,1002
24.55,1008
24.6,1055
24.65,1002
24.7,1045
24.75,985
24.8,1002
24.85,958
24.9,1020
24.95,997
25.0,1058
25.05,996
25.1,939
25.15,977
25.2,1053
25.25,1036
25.3,944
25.35,984
25.4,1011
25.45,962
25.5,962
25.55,977
25.6,1059
25.65,962
25.7,979
25.75,1030
25.8,967
25.85,946
25.9,1037
25.95,1041
26.0,982
26.05,1006
26.1,990
26.15,992
26.2,996
26.25,985
26.3,989
26.35,1017
26.4,980
26.45,1024
26.5,1048
26.55,1008
26.6,993
26.65,1047
26.7,1030
26.75,1029
26.8,1018
26.85,1104
26.9,1051
26.95,1025
27.0,1005
27.05,1020
27.1,1041
27.15,1010
27.2,965
27.25,1035
27.3,1010
27.35,1002
27.4,1021
27.45,998
27.5,1087
27.55,989
27.6,1015
27.65,1005
27.7,1032
27.75,1014
27.8,1032
27.85,1103
27.9,984
27.95,1066
28.0,1054
28.05,1029
28.1,1046
28.15,1034
28.2,1045
28.25,1036
28.3,986
28.35,1062
28.4,1017
28.45,1006
28.5,1065
28.55,990
28.6,1017
28.65,1056
28.7,990
28.75,976
28.8,1005
28.85,1006
28.9,1057
28.95,1051
29.0,1048
29.05,1022
29.1,1028
29.15,990
29.2,1058
29.25,1079
29.3,1103
29.35,978
29.4,964
29.45,1030
29.5,1073
29.55,1053
29.6,1096
29.65,1045
29.7,1032
29.75,1019
29.8,1002
29.85,1013
29.9,1001
29.95,1039
30.0,1057
30.05,1042
30.1,986
30.15,1100
30.2,1037
30.25,988
30.3,1049
30.35,1062
30.4,1058
30.45,1062
30.5,1070
30.55,1072
30.6,982
30.65,1008
30.7,1006
30.75,1021
30.8,988
30.85,977
30.9,999
30.95,971
31.0,1061
31.05,1054
31.1,1066
31.15,1044
31.2,1054
31.25,1019
31.3,984
31.35,1020
31.4,1072
31.45,1000
31.5,1088
31.55,1047
31.6,1041
31.65,1029
31.7,1041
31.75,986
31.8,1000
31.85,979
31.9,1062
31.95,1042
32.0,1028
32.05,1042
32.1,1032
32.15,1052
32.2,1050
32.25,1042
32.3,1068
32.35,1004
32.4,1017
32.45,1091
32.5,1035
32.55,1041
32.6,1077
32.65,1008
32.7,1071
32.75,999
32.8,1102
32.85,1039
32.9,998
32.95,1038
33.0,1007
33.05,1102
33.1,982
33.15,982
33.2,1042
33.25,1062
33.3,1003
33.35,1019
33.4,992
33.45,959
33.5,979
33.55,960
33.6,1063
33.65,986
33.7,994
33.75,1054
33.8,1045
33.85,1040
33.9,1072
33.95,1066
34.0,1012
34.05,1004
34.1,1074
34.15,1039
34.2,1028
34.25,1032
34.3,994
34.35,996
34.4,999
34.45,1029
34.5,1000
34.55,1017
34.6,1017
34.65,1042
34.7,1031
34.75,1091
34.8,1019
34.85,1017
34.9,1077
34.95,1033
35.0,1012
35.05,1015
35.1,1031
35.15,1052
35.2,1046
35.25,1024
35.3,1020
35.35,1039
35.4,1006
35.45,1029
35.5,1043
35.55,1067
35.6,1003
35.65,1021
35.7,1042
35.75,1059
35.8,1020
35.85,1042
35.9,1071
35.95,1051
36.0,1024
36.05,1056
36.1,1052
36.15,1087
36.2,1061
36.25,1029
36.3,1014
36.35,1093
36.4,1028
36.45,1047
36.5,1090
36.55,1085
36.6,1038
36.65,1067
36.7,1071
36.75,1038
36.8,999
36.85,1090
36.9,1022
36.95,944
37.0,1025
37.05,1047
37.1,1036
37.15,1052
37.2,1047
37.25,1078
37.3,1033
37.35,1033
37.4,1050
37.45,1083
37.5,996
37.55,1079
37.6,1006
37.65,1017
37.7,997
37.75,994
37.8,1001
37.85,1009
37.9,1048
37.95,1023
38.0,1071
38.05,1076
38.1,1050
38.15,1035
38.2,1022
38.25,1007
38.3,1034
38.35,1002
38.4,1076
38.45,1029
38.5,1055
38.55,995
38.6,1046
38.65,1059
38.7,1028
38.75,980
38.8,1061
