time,value
0.05,1088
0.1,1122
0.15,1034
0.2,1065
0.25,1086
0.3,1081
0.35,1126
0.4,1098
0.45,1122
0.5,1152
0.55,1148
0.6,1096
0.65,1019
0.7,1102
0.75,1147
0.8,1078
0.85,1104
0.9,1125
0.95,1078
1.0,1089
1.05,1113
1.1,1115
1.15,1132
1.2,1087
1.25,1135
1.3,1125
1.35,1134
1.4,1086
1.45,1085
1.5,1096
1.55,1140
1.6,1120
1.65,1098
1.7,1085
1.75,1080
1.8,1040
1.85,1088
1.9,1102
1.95,1145
2.0,1127
2.05,1109
2.1,1124
2.15,1056
2.2,1103
2.25,1100
2.3,1089
2.35,1103
2.4,1077
2.45,1057
2.5,1137
2.55,1048
2.6,1036
2.65,1098
2.7,1048
2.75,1079
2.8,1024
2.85,1097
2.9,1052
2.95,1137
3.0,1087
3.05,1043
3.1,1078
3.15,1076
3.2,1076
3.25,1151
3.3,1122
3.35,1113
3.4,1099
3.45,1078
3.5,1059
3.55,1063
3.6,1117
3.65,1124
3.7,1070
3.75,1046
3.8,1111
3.85,1116
3.9,1041
3.95,1113
4.0,1086
4.05,1081
4.1,1139
4.15,1080
4.2,1085
4.25,1129
4.3,1065
4.35,974
4.4,1096
4.45,1076
4.5,1068
4.55,1062
4.6,1127
4.65,1073
4.7,1125
4.75,1118
4.8,1097
4.85,1037
4.9,1079
4.95,1049
5.0,1085
5.05,1087
5.1,1054
5.15,1086
5.2,1055
5.25,1037
5.3,1019
5.35,1070
5.4,1088
5.45,1033
5.5,1061
5.55,1079
5.6,1084
5.65,1062
5.7,1079
5.75,1110
5.8,1041
5.85,1062
5.9,1117
5.95,1094
6.0,1131
6.05,1049
6.1,1093
6.15,1083
6.2,1076
6.25,1101
6.3,1129
6.35,1132
6.4,1086
6.45,1094
6.5,1086
6.55,1104
6.6,1081
6.65,1060
6.7,1136
6.75,1121
6.8,1017
6.85,1119
6.9,1022
6.95,1086
7.0,1056
7.05,1075
7.1,1092
7.15,1037
7.2,1080
7.25,1083
7.3,1039
7.35,1038
7.4,1121
7.45,1069
7.5,1089
7.55,1082
7.6,1078
7.65,1039
7.7,1068
7.75,1083
7.8,1089
7.85,1078
7.9,1084
7.95,1089
8.0,1105
8.05,1134
8.1,1056
8.15,1078
8.2,1126
8.25,1076
8.3,1087
8.35,973
8.4,1101
8.45,1075
8.5,1101
8.55,1053
8.6,1136
8.65,1093
8.7,1078
8.75,1092
8.8,1076
8.85,1101
8.9,1105
8.95,1069
9.0,1103
9.05,1024
9.1,1014
9.15,1046
9.2,1070
9.25,1063
9.3,1052
9.35,1008
9.4,1062
9.45,1105
9.5,1086
9.55,1065
9.6,1081
9.65,1046
9.7,1052
9.75,1086
9.8,1045
9.85,1087
9.9,1082
9.95,1073
10.0,1069
10.05,1028
10.1,1116
10.15,1085
10.2,1048
10.25,1053
10.3,969
10.35,1063
10.4,1074
10.45,1036
10.5,1071
10.55,1088
10.6,1042
10.65,1045
10.7,1044
10.75,1054
10.8,1112
10.85,1040
10.9,1046
10.95,1034
11.0,1008
11.05,1021
11.1,1053
11.15,1076
11.2,1018
11.25,1102
11.3,1061
11.35,1056
11.4,1036
11.45,1064
11.5,1111
11.55,1034
11.6,1098
11.65,1065
11.7,1022
11.75,1047
11.8,1045
11.85,1030
11.9,1005
11.95,1105
12.0,1081
12.05,1076
12.1,1038
12.15,1005
12.2,1085
12.25,1055
12.3,1016
12.35,1036
12.4,1094
12.45,1058
12.5,1038
12.55,1037
12.6,1089
12.65,1077
12.7,1041
12.75,994
12.8,1060
12.85,1053
12.9,1038
12.95,1055
13.0,1077
13.05,1071
13.1,1001
13.15,1094
13.2,1103
13.25,1051
13.3,1073
13.35,1102
13.4,1104
13.45,1083
13.5,1003
13.55,1037
13.6,1061
13.65,1121
13.7,1011
13.75,1088
13.8,1067
13.85,1006
13.9,1127
13.95,1008
14.0,1030
14.05,976
14.1,1048
14.15,996
14.2,1026
14.25,1018
14.3,1088
14.35,1056
14.4,1046
14.45,1023
14.5,1062
14.55,1021
14.6,1045
14.65,1099
14.7,1026
14.75,1032
14.8,1020
14.85,1026
14.9,1059
14.95,1049
15.0,1010
15.05,1077
15.1,1015
15.15,1039
15.2,1084
15.25,1043
15.3,1053
15.35,990
15.4,1028
15.45,1066
15.5,1052
15.55,1120
15.6,1078
15.65,1103
15.7,1077
15.75,1097
15.8,1071
15.85,1033
15.9,1030
15.95,1048
16.0,1051
16.05,1060
16.1,1062
16.15,1057
16.2,1091
16.25,1074
16.3,1060
16.35,1057
16.4,1133
16.45,1100
16.5,1169
16.55,1126
16.6,1108
16.65,1002
16.7,1061
16.75,1077
16.8,1080
16.85,1079
16.9,1069
16.95,1131
17.0,1128
17.05,1078
17.1,1105
17.15,1088
17.2,1076
17.25,1071
17.3,1031
17.35,1064
17.4,1073
17.45,1043
17.5,1093
17.55,1103
17.6,1048
17.65,1068
17.7,1075
17.75,1077
17.8,1140
17.85,1019
17.9,1024
17.95,1088
18.0,1087
18.05,1095
18.1,1069
18.15,1094
18.2,1111
18.25,1095
18.3,1114
18.35,1073
18.4,1036
